Transaction ID,Date,Customer ID,Gender,Age,Generation,Product Category,Quantity,Price per Unit,Total Sales, Commission 2023 ,,,
1,11/24/2023,Beauty,Male,34,Adult,Beauty,3,50,150, £2.25 ,,,
2,2/27/2023,CUST002,Female,26,Young Adult,Clothing,2,500,1000, £15.00 ,,,Rate %
3,1/13/2023,CUST003,Male,50,Adult,Electronics,1,30,30, £0.45 ,,Commission Rate 2023,1.5%
4,5/21/2023,CUST004,Male,37,Adult,Clothing,1,500,500, £7.50 ,,Commission Rate 2024,2.0%
5,5/6/2023,CUST005,Male,30,Adult,Beauty,2,50,100, £1.50 ,,,
6,4/25/2023,CUST006,Female,45,Adult,Beauty,1,30,30, £0.45 ,,,
7,3/13/2023,CUST007,Male,46,Adult,Clothing,2,25,50, £0.75 ,,,
8,2/22/2023,CUST008,Male,30,Adult,Electronics,4,25,100, £1.50 ,,Total Commission,Average Commision
9,12/13/2023,CUST009,Male,63,Senior,Electronics,2,300,600, £9.00 ,," £6,840.00 ", £6.84 
10,10/7/2023,CUST010,Female,52,Senior,Clothing,4,50,200, £3.00 ,,,
11,2/14/2023,CUST011,Male,23,Young Adult,Clothing,2,50,100, £1.50 ,,,
12,10/30/2023,CUST012,Male,35,Adult,Beauty,3,25,75, £1.13 ,,,
13,8/5/2023,CUST013,Male,22,Young Adult,Electronics,3,500,1500, £22.50 ,,Product Category,Beauty
14,1/17/2023,CUST014,Male,64,Senior,Clothing,4,30,120, £1.80 ,,,Clothing
15,1/16/2023,CUST015,Female,42,Adult,Electronics,4,500,2000, £30.00 ,,,Electronics
16,2/17/2023,CUST016,Male,19,Young Adult,Clothing,3,500,1500, £22.50 ,,,
17,4/22/2023,CUST017,Female,27,Young Adult,Clothing,4,25,100, £1.50 ,,,
18,4/30/2023,CUST018,Female,47,Adult,Electronics,2,25,50, £0.75 ,,Total Clothing Sales," £155,580.00 "
19,9/16/2023,CUST019,Female,62,Senior,Clothing,2,25,50, £0.75 ,,,
20,11/5/2023,CUST020,Male,22,Young Adult,Clothing,3,300,900, £13.50 ,,,
21,1/14/2023,CUST021,Female,50,Adult,Beauty,1,500,500, £7.50 ,,,
22,10/15/2023,CUST022,Male,18,Young Adult,Clothing,2,50,100, £1.50 ,,,
23,4/12/2023,CUST023,Female,35,Adult,Clothing,4,30,120, £1.80 ,,,
24,11/29/2023,CUST024,Female,49,Adult,Clothing,1,300,300, £4.50 ,,,
25,12/26/2023,CUST025,Female,64,Senior,Beauty,1,50,50, £0.75 ,,,
26,10/7/2023,CUST026,Female,28,Young Adult,Electronics,2,500,1000, £15.00 ,,,
27,8/3/2023,CUST027,Female,38,Adult,Beauty,2,25,50, £0.75 ,,,
28,4/23/2023,CUST028,Female,43,Adult,Beauty,1,500,500, £7.50 ,,,
29,8/18/2023,CUST029,Female,42,Adult,Electronics,1,30,30, £0.45 ,,,
30,10/29/2023,CUST030,Female,39,Adult,Beauty,3,300,900, £13.50 ,,,
31,5/23/2023,CUST031,Male,44,Adult,Electronics,4,300,1200, £18.00 ,,,
32,1/4/2023,CUST032,Male,30,Adult,Beauty,3,30,90, £1.35 ,,,
33,3/23/2023,CUST033,Female,50,Adult,Electronics,2,50,100, £1.50 ,,,
